"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
3,"EngyTime","silhouette","OCT",3,0.433724367218386,0.00352598712520468,-10,1.337097692,"EngyTime-silhouette-seed3"
3,"EngyTime","silhouette","kmeans_plus",3,0.437867099692937,0.00250842466018572,-10,1.433937136,"EngyTime-silhouette-seed3"
3,"EngyTime","silhouette","hclust",3,0.379090130922952,0.00565989018042938,-10,14.77677183,"EngyTime-silhouette-seed3"
3,"EngyTime","silhouette","gmm",3,0.436474295619518,0.00277577381733489,-10,0.813633272,"EngyTime-silhouette-seed3"
3,"EngyTime","silhouette","dbscan",1,0.379071712783892,0.0713868428530359,-10,1.019789758,"EngyTime-silhouette-seed3"
4,"EngyTime","silhouette","True",2,0.398032669066604,0.000258524331315168,1,0,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","ICOT_local",2,0.572664305563599,0.0586743469150118,0,3124.200889096,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","OCT",3,0.433724367218386,0.00352598712520468,-10,1.311451242,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","kmeans_plus",3,0.437867099692937,0.00250842466018572,-10,1.470297776,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","hclust",3,0.379090130922952,0.00565989018042938,-10,14.932858681,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","gmm",3,0.436474295619518,0.00277577381733489,-10,0.841707201,"EngyTime-silhouette-seed4"
4,"EngyTime","silhouette","dbscan",1,0.379071712783892,0.0713868428530359,-10,1.042174877,"EngyTime-silhouette-seed4"
1,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,10.750670122,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","OCT",6,0.314416776047211,0.0162655998805153,-10,0.069702198,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","kmeans_plus",6,0.652122490252214,0.531122938068374,-10,0.047965188,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.697635853,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.177360694,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.247301449,"Hepta-dunnindex-seed1"
2,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,10.57638241,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","OCT",6,0.407549003881566,0.042154453933565,-10,0.059286543,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","kmeans_plus",6,0.652122490252214,0.531122938068374,-10,0.154140567,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.473630686,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.329979922,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.300734524,"Hepta-dunnindex-seed2"
3,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,10.342151393,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","OCT",6,0.375035765521891,0.0393436395480036,-10,0.057591452,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","kmeans_plus",6,0.652122490252214,0.531122938068374,-10,0.144535032,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.457041065,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.315811765,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.212840702,"Hepta-dunnindex-seed3"
4,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,9.803794825,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","OCT",6,0.384994958279913,0.0321688824337532,-10,0.065919852,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","kmeans_plus",6,0.652122490252214,0.531122938068374,-10,0.070865135,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.494922368,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.172505756,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.32426448,"Hepta-dunnindex-seed4"
5,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,10.262504706,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","OCT",6,0.407549003881566,0.042154453933565,-10,0.05896095,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","kmeans_plus",6,0.652122490252214,0.531122938068374,-10,0.112820389,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.602131179,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.175817016,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.255927454,"Hepta-dunnindex-seed5"
1,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,12.025867805,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","OCT",8,0.322711308333148,0.0284396246747862,-10,0.105739918,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","kmeans_plus",8,0.652736725159751,0.188806270896386,-10,0.067294794,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.446385418,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","gmm",7,0.701701220874264,1.07618340765214,1,0.174455873,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.181312561,"Hepta-silhouette-seed1"
2,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,12.227460996,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","OCT",8,0.322711308333148,0.0284396246747862,-10,0.101017788,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","kmeans_plus",8,0.652736725159751,0.188806270896386,-10,0.067957184,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.465285033,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","gmm",7,0.701701220874264,1.07618340765214,1,0.17545304,"Hepta-silhouette-seed2"
2,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.159233809,"Hepta-silhouette-seed2"
3,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,12.260388069,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","OCT",8,0.252764834357701,0.0305091810020413,-10,0.108088912,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","kmeans_plus",8,0.652736725159751,0.188806270896386,-10,0.105041353,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.49243126,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","gmm",7,0.701701220874264,1.07618340765214,1,0.173237029,"Hepta-silhouette-seed3"
3,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.180648299,"Hepta-silhouette-seed3"
5,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,12.519964094,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","OCT",8,0.303925701004181,0.0284396246747862,-10,0.114390377,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","kmeans_plus",8,0.652736725159751,0.188806270896386,-10,0.122943667,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","hclust",7,0.701701220874264,1.07618340765214,1,0.505690718,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","gmm",7,0.701701220874264,1.07618340765214,1,0.176025772,"Hepta-silhouette-seed5"
5,"Hepta","silhouette","dbscan",1,0.701701220874264,1.07618340765214,-10,0.234359151,"Hepta-silhouette-seed5"
1,"Lsun","dunnindex","True",3,0.439361969849105,0.117052395539751,1,0,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","ICOT_local",6,0.497440884272927,0.0655480046900138,-10,73.236689602,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","OCT",5,0.537822902867191,0.055973938452984,-10,0.10786614,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","kmeans_plus",5,0.537822902867191,0.055973938452984,-10,0.161387728,"Lsun-dunnindex-seed1"
1,"Lsun","dunnindex","hclust",10,0.388729887157816,0.0705328095456078,-10,1.338809081,"Lsun-dunnindex-seed1"
