"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
5,"Chainlink","silhouette","gmm",8,0.418854292258871,0.0114881835076279,-10,0.291789722,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.683131421,"Chainlink-silhouette-seed5"
1,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,117.865953197,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.150782446,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.501546978,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.808302366,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","gmm",7,0.701701220874264,1.07618340765214,1,0.165658527,"Hepta-dunnindex-seed1"
1,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.448155835,"Hepta-dunnindex-seed1"
2,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,124.292913037,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","OCT",7,0.372988625145858,0.0274417123112856,0.490513354367595,0.065025594,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.462568009,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.576966232,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","gmm",5,0.539329774550637,0.351974840536907,-10,0.167839568,"Hepta-dunnindex-seed2"
2,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.414139053,"Hepta-dunnindex-seed2"
3,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,118.712343293,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.06481162,"Hepta-dunnindex-seed3"
