"seed","data","criterion","geom_threshold","warm_start","method","K","silhouette","dunn","ari_true","runtime","filename"
4,"Atom","dunnindex",0.99,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.322530368,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"none","gmm",3,0.41938313665665,0.0480929311055705,-10,0.253943271,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.300523375,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,217.030295673,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.373575261,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.444951845,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.255106138,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","gmm",3,0.41938313665665,0.0480929311055705,-10,0.415597522,"Atom-dunnindex-seed4-geom0.99-ws_oct"
4,"Atom","dunnindex",0.99,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.192172757,"Atom-dunnindex-seed4-geom0.99-ws_oct"
5,"Atom","dunnindex",0,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed5-geom0.0-ws_none"
5,"Atom","dunnindex",0,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,5113.396325281,"Atom-dunnindex-seed5-geom0.0-ws_none"
5,"Atom","dunnindex",0,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.50142448,"Atom-dunnindex-seed5-geom0.0-ws_none"
